exposure	outcome_phenocode	method	nsnp	b	se	pval
BMI	AAA	MR Egger	488	0.523351941217881	0.175788760816004	0.00305448988867976
BMI	AAA	Weighted median	488	0.418480245437083	0.110039569037103	0.000142955591683296
BMI	AAA	Inverse variance weighted	488	0.455737486372146	0.0682505603232804	2.43189414198114e-11
BMI	AAA	Simple mode	488	0.27433806132662	0.344734424134913	0.426538692866203
BMI	AAA	Weighted mode	488	0.379981581016909	0.187693838048093	0.0434665050668992
BMI	AF	MR Egger	484	0.390399573599537	0.0905453831117918	1.96606462698531e-05
BMI	AF	Weighted median	484	0.384593325469793	0.035684248151818	4.38824638185624e-27
BMI	AF	Inverse variance weighted	484	0.387356329066936	0.0319574192919582	8.17414141372274e-34
BMI	AF	Simple mode	484	0.45007056588415	0.125936853058937	0.00038720598990308
BMI	AF	Weighted mode	484	0.45007056588415	0.0826862195942953	8.34311143561131e-08
BMI	alc_problems	MR Egger	492	-0.079018004252998	0.111153987309058	0.477492052651223
BMI	alc_problems	Weighted median	492	0.0202516088246516	0.0617129865557329	0.742792219490648
BMI	alc_problems	Inverse variance weighted	492	0.0609589127621147	0.0418890384281283	0.145600792709945
BMI	alc_problems	Simple mode	492	0.153696479587877	0.206420114127147	0.456881316627902
BMI	alc_problems	Weighted mode	492	0.0490114456138651	0.12965748667314	0.70558870948243
BMI	allergic_rhinitis	MR Egger	491	-0.0653582321354939	0.0789268007313833	0.408025374049673
BMI	allergic_rhinitis	Weighted median	491	-0.0148353742959095	0.0406722858993939	0.715295131183275
BMI	allergic_rhinitis	Inverse variance weighted	491	-0.0495076146654672	0.0279747083208805	0.0767725223585713
BMI	allergic_rhinitis	Simple mode	491	-0.104211522887094	0.132276896752397	0.431177901081079
BMI	allergic_rhinitis	Weighted mode	491	-0.0294826027514072	0.112506427643414	0.793391009303216
BMI	anxiety	MR Egger	490	-0.0765089317223665	0.0680121373728867	0.26117144734779
BMI	anxiety	Weighted median	490	-0.0829373392157729	0.0391122270361353	0.0339641992277918
BMI	anxiety	Inverse variance weighted	490	-0.0226403007966066	0.0259934275345464	0.383753619248279
BMI	anxiety	Simple mode	490	-0.109317384115066	0.129098631514476	0.397535227770821
BMI	anxiety	Weighted mode	490	-0.109317384115066	0.0665422422679448	0.101061582872086
BMI	asthma	MR Egger	484	0.219075127505315	0.0727474648879963	0.00273660802614661
BMI	asthma	Weighted median	484	0.213096205887892	0.0314642378861178	1.26446395119258e-11
BMI	asthma	Inverse variance weighted	484	0.226672519563642	0.0269727674674532	4.32425718395161e-17
BMI	asthma	Simple mode	484	0.260502900038128	0.0956309418506191	0.00668250831087098
BMI	asthma	Weighted mode	484	0.204215592149999	0.0529046778446245	0.000128765924824576
BMI	b12_def	MR Egger	492	0.389444958411825	0.195560787238204	0.0469887291846118
BMI	b12_def	Weighted median	492	0.329961633972918	0.111062608230032	0.00296878561185926
BMI	b12_def	Inverse variance weighted	492	0.342792491138844	0.0736149876947608	3.21539062745171e-06
BMI	b12_def	Simple mode	492	0.0739824615362981	0.384681124198799	0.847569872366248
BMI	b12_def	Weighted mode	492	0.00867830992268104	0.232624268644888	0.970256084722146
BMI	BPH	MR Egger	489	0.0223672109167872	0.0819767940232322	0.785085655349981
BMI	BPH	Weighted median	489	0.0343251440718838	0.0404419446589208	0.396019818377531
BMI	BPH	Inverse variance weighted	489	0.017361822776342	0.029483486363421	0.555951165095918
BMI	BPH	Simple mode	489	0.00994451468387991	0.120949762316129	0.934505315763192
BMI	BPH	Weighted mode	489	0.0749249993602907	0.0808155207981954	0.354326931433956
BMI	bursitis	MR Egger	492	0.135752667743595	0.100635895502571	0.177976461499081
BMI	bursitis	Weighted median	492	0.120998933063814	0.0613912962161966	0.0487300465255217
BMI	bursitis	Inverse variance weighted	492	0.155592906956198	0.0378570505150224	3.95639685652806e-05
BMI	bursitis	Simple mode	492	-0.165633620588207	0.201250298020539	0.410894463317159
BMI	bursitis	Weighted mode	492	0.153982921237002	0.13377586631257	0.250271243549004
BMI	carpal_tunnel	MR Egger	489	0.646286157730723	0.0834964656262082	5.77593544840832e-14
BMI	carpal_tunnel	Weighted median	489	0.612246686456225	0.0467279470602237	3.19149152986358e-39
BMI	carpal_tunnel	Inverse variance weighted	489	0.582285045785912	0.0320355961682218	7.96827703572071e-74
BMI	carpal_tunnel	Simple mode	489	0.681093487810147	0.168895812329358	6.3993459195646e-05
BMI	carpal_tunnel	Weighted mode	489	0.745671244878029	0.101654801876684	9.28236355205323e-13
BMI	cataract	MR Egger	489	0.160377199826215	0.0581663924506029	0.00604857925679705
BMI	cataract	Weighted median	489	0.116028198543916	0.0295346909296888	8.54633314719948e-05
BMI	cataract	Inverse variance weighted	489	0.114763972405149	0.0225223156919743	3.4769871172707e-07
BMI	cataract	Simple mode	489	0.111130108296363	0.0974091939013479	0.254488365164785
BMI	cataract	Weighted mode	489	0.142106784864573	0.0536501109627216	0.00834033293584069
BMI	cholelithiasis	MR Egger	488	0.563660167179308	0.0790267014321727	3.59583756650808e-12
BMI	cholelithiasis	Weighted median	488	0.551749584835437	0.0377312394247345	1.99930964622737e-48
BMI	cholelithiasis	Inverse variance weighted	488	0.565321267018185	0.0288407644270289	1.50232518898331e-85
BMI	cholelithiasis	Simple mode	488	0.457185612652405	0.100143151014081	6.32374560236979e-06
BMI	cholelithiasis	Weighted mode	488	0.54426426409455	0.0631208439204097	9.25571048387842e-17
BMI	CKD	MR Egger	491	0.143595481632561	0.0723794408836696	0.0478227375992157
BMI	CKD	Weighted median	491	0.277341692982992	0.0416287041328365	2.69628926153519e-11
BMI	CKD	Inverse variance weighted	491	0.31039152957102	0.0278556879058741	7.76026951846811e-29
BMI	CKD	Simple mode	491	0.478033328292205	0.129187398284075	0.000239744493855376
BMI	CKD	Weighted mode	491	0.293071743978901	0.0766069047437023	0.000147280266093129
BMI	COPD	MR Egger	489	0.384969157334303	0.0870772250043948	1.21237792031258e-05
BMI	COPD	Weighted median	489	0.362866250953259	0.0462367626219205	4.22714162926463e-15
BMI	COPD	Inverse variance weighted	489	0.395182806797085	0.0338507725289604	1.72555573010847e-31
BMI	COPD	Simple mode	489	0.533279337834071	0.159275011538241	0.000876376562723936
BMI	COPD	Weighted mode	489	0.168735432449775	0.0898443249283434	0.0609653458495703
BMI	coronary_heart	MR Egger	490	0.376581535131224	0.0638268147283501	6.80116576674371e-09
